name,rarity,description
Maschera dei Molti Volti,"Oggetto meraviglioso, molto raro (richiede sintonia)","Mutaforma. Questa maschera ha 3 cariche. Puoi spendere 1 carica mentre la indossi per lanciare travestirsi. La maschera recupera 1d3 cariche consumate ogni giorno al crepuscolo. Non ottieni nessuno dei benefici della razza in cui ti trasformi. Per vedere oltre l'illusione, qualcuno deve effettuare una prova di Intelligenza a DC 16."
Morning Star del Bahemoth,"Arma marziale (frusta), arma da mischia, leggendaria (richiede sintonia)","Questa è un'arma +3 che infligge 1d6 danni da randellate con un raggio d'azione di 10 piedi, inoltre infligge 1d8 danni radianti aggiuntivi."
Muramasa,"Arma (spada lunga), leggendaria (richiede sintonia)","Acclamata come una grande lama demoniaca, Muramasa è stata creata dal leggendario spadaccino che ha dato il suo nome alla lama."
Opados,Scudo del Prometeo Apostata,"Questo scudo fu dato al Regno degli Althei come penitenza per aver scatenato il fuoco nel mondo. Poiché il suo padrone era il creatore del fuoco, l'elemento si inchina davanti alla sua presenza e si spegne. Solo quelli di stirpe reale possono sollevarlo, per gli altri sarebbe impossibile."
Opale dell'individuazione dell'Allineamento,"Oggetto Meraviglioso, Non Comune","Questo minerale di color bianco lattiginoso, tendente al grigio perla, quando viene posto davanti all'occhio del suo possessore permette di identificare l'allineamento di chi si osserva, il quale viene identificato da un'aura di colore diverso in base all'allineamento che possiede"
Pergamene della Telescrittura,"Oggetto Meraviglioso, Non Comune","Queste pergamene vengono vendute in coppia; quando un individuo scrive su una di queste pergamene il contenuto viene proiettato nella pergamena gemella, e colui che possiede quest'ultima può rispondere al messaggio e continuare la conversazione."
Scure di Sangue,"Oggetto Meraviglioso, Raro","La Scure di sangue è un'ascia bipenne +2 che infligge 1d12 danni taglienti e 1d6 danni necrotici aggiuntivi contro le creature viventi (rendendo naturalmente immuni i non morti e i costrutti) e restituisce 10 PF a chi la impugna, per ogni uccisione."
Senbon Scampanato,"Arma (Senbon), Comune (richiede sintonizzazione)","Per gli shinobi, combattere è incredibilmente impegnativo dal punto di vista mentale. Per questo motivo, alcuni shinobi si allenano con senbon che hanno piccoli campanelli attaccati alla schiena per distrarre gli avversari."
Spada Shamisen,"Arma (spada lunga), leggendaria (richiede la sintonizzazione da parte di un bardo)","Quest'arma può agire come un liuto a tutti gli effetti. Tuttavia, questo strumento ha una spada nascosta che può essere staccata o attaccata al manico dello strumento come azione bonus. Quest'arma magica ha un bonus di +1 ai tiri per l'attacco e ai tiri per i danni. Puoi usare un'azione per suonare lo strumento e lanciare alcuni incantesimi. Una volta che lo strumento è stato usato per lanciare un certo incantesimo, non può essere usato di nuovo per lanciare quell'incantesimo fino all'alba successiva. Questi incantesimi utilizzano la tua capacità di lanciare incantesimi e la tua CD di salvataggio. Gli incantesimi sono i seguenti: benedire, bocca magica, protezione dal male e dal bene, suggestione, assassino fantasma e folata di vento."
Stivali del Vigile,"Oggetto meraviglioso, non comune","Mentre indossi questi stivali, puoi percepire un pericolo imminente. Dopo aver effettuato un tiro di iniziativa, puoi scegliere di tirare 1d8 e aggiungerlo al tuo tiro di iniziativa."
Tempesta Infernale di Shiva,"Arma (katana), leggendaria (richiede sintonia)",Questa katana è stata realizzata con gli artigli e le zanne di un potente spirito che si pensava fosse solo un mito. La leggenda dice che un pezzo dell'anima di Shiva è stato infuso nella spada dandole il potere della neve e del ghiaccio.
"Toccata dalla luna, stocco +1","Arma (stocco), non comune",Hai un bonus di +1 ai tiri per l'attacco e ai tiri per i danni effettuati con quest'arma magica.
Utensili artigianali +1/+2/+3,"Oggetto meraviglioso, la rarità varia ‎","‎Quando fai un tiro abilità usando questi strumenti magici, ottieni un bonus al tiro. Se gli strumenti all'interno di un set sono separati, non offrono alcun vantaggio fino al completamento del set. Se uno degli strumenti di un set viene distrutto, tutte le attrezzature all'interno del set diventano non magiche. ‎"
Protesi del Berserker,"Oggetto meraviglioso, raro (richiede sintonia)","A causa della loro natura spericolata, non è raro che i berserker perdano un arto. Questo può essere debilitante, specialmente in mondi senza magia. Alcuni abili artigiani hanno trovato il modo di forgiare braccia sostitutive con dita magnetiche, permettendo ai guerrieri feriti di continuare a combattere."
Armatura del Berserker,"Armatura (di piastre), Leggendaria (richiede sintonia)","Una minacciosa armatura nera che un tempo apparteneva a una stirpe di spadaccini maledetti, anche se non per nascita. L'Armatura del Berserker è un'armatura intimidatoria con un incantesimo pericoloso che solo le volontà più forti possono gestire. Quando il suo portatore la attiva per la prima volta, il suo metallo incantato si piega per creare un'immagine della sua oscurità interiore."
Bricco Sempre Pieno,"Oggetto meraviglioso, non comune","Questo grande boccale di ceramica è decorato con glifi nani e sormontata da un coperchio di metallo in ottone che può essere aperto da una leva con il pollice. Quando il coperchio è chiuso e il è vuoto, il proprietario deve solo nominare una birra, una birra o un idromele non magico birra o idromele non magico che ha già bevuto in precedenza e il boccale si riempie con quella birra."
Moneta della Vita Facile,"Oggetto meraviglioso, non comune (richiede sintonia)","Questa moneta d'oro appare del tutto normale ai sensi ma, quando viene lanciata, esce sempre testa . Mentre sei in sintonia con questo oggetto, puoi evocarla sul tuo palmo a volontà."
Bottiglia dell'Identificazione dei Liquidi,"Oggetto meraviglioso, raro","Questo oggetto magico è una bottiglia di vetro con un'etichetta vuota. Quando una pozione o un altro liquido viene versato nella bottiglia, il contenuto e gli effetti del liquido appariranno, scritti in comune, sull'etichetta. Questa scritta svanisce quando la bottiglia viene svuotata del suo contenuto. Se questa bottiglia viene rotta, perde la capacità di identificare liquidi ma funziona invece come un'arma improvvisata con un bonus di +2 ai tiri salvezza e ai tiri per danni."
Scudo Torre,Costo Classe Armatura (AC) Forza Furtività Peso,"200 mo +5 CA, speciale 15 - svantaggio - 7kg (legno) 20,5kg (ferro)"
Scudo Muro,Costo Classe Armatura (CA) Forza Stealth Peso,300 gp +3 Str 17 Svantaggio 68kg
Mazzo di Carte Adattatore,"Oggetto meraviglioso, non comune","Quando giochi una partita a carte con questo mazzo, esso si modifica per corrispondere al mazzo usato tipicamente in quel gioco, guadagnando, perdendo e cambiando l'aspetto delle carte come richiesto."
Mazzo Magico,"Arma (Mazzo di carte), molto rara (richiede la sintonizzazione da parte di un incantatore)","Questo oggetto può essere utilizzato come un mazzo di carte, un'arma da lancio e un fuoco per incantesimi."
Mazzo Automescolante,"Oggetto meraviglioso, comune","Qualsiasi mazzo di carte può diventare un mazzo che si mescola da solo. Quando tutte le carte sono impilate insieme, una creatura entro 1,5 metri dal mazzo può comandare di mischiarle. Se non c'è nulla appoggiato sopra le carte, queste si animeranno e si riorganizzeranno in un ordine casuale."
Mazzo dell'Abbondanza,"Oggetto meraviglioso, leggendario","Un mazzo di 54 carte con incredibili proprietà magiche per ogni carta, tuttavia ci sono un gran numero di carte dannose che possono causarti grandi sofferenze, così come carte che potrebbero esaudire i tuoi più grandi desideri. Pesca a tuo rischio e pericolo."
Trovavia,"Oggetto meraviglioso, artefatto (richiede sintonizzazione)","Il Wayfinder è un'antica bussola di cristallo e bronzo creata da Evira l'Incantatrice per un umile avventuriero. Wayfinder punta sempre nella direzione in cui il suo possessore desidera andare. Se non c'è una direzione specifica in mente, indica il nord."
Mappa del Cartografo,"Pergamena, artefatto","""La Mappa del Cartografo assomiglia a una normale mappa a rotoli, leggermente più grande di una mappa standard. I bordi sono sfrangiati, e appare consumata dalle intemperie, eppure la pergamena rimane indistruttibile""."
Occhiali Scanner di Abilità,"Oggetto meraviglioso, Artefatto (richiede sintonia)","Mentre indossi questo occhiale con una lunga lente di cristallo, puoi imparare abilità e talenti di altre creature."
Falce del Mietitore,"Arma (falce), Leggendario (Richiede sintonia)",La Falce del Tristo Mietitore sembra essere un antico attrezzo agricolo. Il manico è annerito dal tempo e la lama è di acciaio non lucidato. Si dice che succhi l'anima delle sue vittime e che una volta sia stata impugnata dalla stessa Mietitrice.
Verga Cromatica (Homebrew),Prezzo (livello dell'oggetto): 12.308 gp (13°),Slot corpo: - (tenuto)
Catena dell'Obbedienza,Prezzo (livello dell'oggetto): 35.600 mo (15°),Slot corpo: - (tenuto)
Arco della Luna d'Inverno (Homebrew),Prezzo (livello dell'oggetto): 3.400 mo (8°),Slot corpo: - (tenuto)
Maschera della Volpe,"Oggetto meraviglioso, molto raro (richiede sintonia)",Una mezza maschera di una volpe ingannatrice. Puoi sentire un'intensa passione bruciare al suo interno.
Mantello del Djinn,"Oggetto meraviglioso, non comune (richiede sintonia)","Questo mantello fluttuante, morbido come una nuvola, svolazza dolcemente da solo anche senza vento. Ha 3 cariche e recupera 1 carica ogni volta che finisci il tuo turno senza utilizzare alcun movimento o spendere alcuna carica del mantello. Mentre indossi il mantello, puoi usare un'azione per spendere 1 o più delle sue cariche per girare su te stesso ed emettere un potente colpo rotante. Ogni creatura entro un raggio di 1,5 metri da te deve riuscire in un tiro salvezza di Forza CD 15 o essere spinta a 1,5 metri da te e subire 3d8 danni da fulmine."
Mazzo dell'Avidità (Homebrew),"Oggetto meraviglioso, leggendario","Questo mazzo si trova sempre in una scatola d'avorio intagliato e contiene 22 carte. Quando apri la scatola, senti un messaggio lasciato dal creatore del mazzo che informa te e chiunque si trovi entro 15 piedi dalla scatola sulle regole per usare il mazzo. Non puoi pescare più di 3 carte, e per ogni carta che peschi devi fare un sacrificio - Uno dei seguenti deve essere messo nella scatola prima di ogni pescata;"
Mazzo Zezzet,"Arma (Mazzo di Tarocchi), artefatto (maggiore)","A un esame più attento, questa scatola d'argento decorata con un segno blu lapislazzuli ""ZEZZET"", contiene un mazzo di 20 carte dei Tarocchi. Ogni carta è imbevuta di un elemento diverso e agisce di concerto con chi la impugna, abbattendo senza sforzo i nemici come un nastro di carta affilato come un rasoio. Il mazzo Zezzet è stato creato dalla maga Yzma Zezzer, che ha cercato di controllare i suoi poteri attraverso un complesso rituale, che è continuato per un'intera settimana, utilizzando questo mazzo come catalizzatore portatile. Secondo la leggenda, è svanita quando il mazzo è stato imbevuto del suo Wild Magic Surge, lasciando il mazzo incustodito. ""Non puoi controllare sempre la magia"" Yzma Zezzet intanto prepara il rituale."
Tomo della Mente,"Oggetto meraviglioso, molto raro",Un grande libro rilegato in pelle che è ben consumato e odora vagamente di incenso
Tomo del Corpo,"Oggetto meraviglioso, molto raro","Un grande libro rilegato in pelle, ben consumato e che puzza vagamente di sudore."
Tomo della Conoscenza dei Mostri,"Articolo meraviglioso, molto raro","A prima vista, questo libro sembra essere ricoperto di pelle piuttosto vecchia con 2 cinghie di pelle più recenti che tengono il libro chiuso. Dopo ulteriori indagini, la rilegatura in pelle di questo libro è in realtà pelle umana. Il libro contiene 100 pagine. Ogni pagina è uno spazio extradimensionale all'interno della copertina del libro. Le prime due pagine contengono gli strumenti necessari per raccogliere campioni dalle creature che devono essere registrate nel libro. Gli strumenti che sono contenuti all'interno includono: un coltello stretto e affilato per scuoiare, una piccola accetta, una sezione cava di osso di drago che è stata affilata per raccogliere campioni di liquido, un utensile per scrivere, e occhiali che migliorano la visione di chi li indossa fino ad una distanza di 3 piedi. Ogni serie di pagine aggiuntive è suddivisa in 4 sezioni."
Tomo delle Rune,"Oggetto meraviglioso, raro (richiede la sintonizzazione da parte di qualcuno con almeno il 3° livello di incantesimi)","Un libro pesante, rilegato in pelle spessa e con pagine scritte in una lingua sconosciuta. All'interno del libro si trovano un migliaio di forme rituali e cerchi diversi, che ti permettono di crearli con facilità."
Tomo dell'Alterazione,"Oggetto meraviglioso, leggendario (richiede la sintonizzazione da parte di un incantatore)",Questo antico libro conserva i segreti per ottenere un grande potere arcano.
Tomo della Vasta Conoscenza,"Oggetto meraviglioso, molto raro",Un grande libro fatto di uno strano materiale che sembra chiamarti chiedendoti di condividere il tuo sapere in cambio della sua conoscenza.
Tomo della Distesa Infinita,"Oggetto meraviglioso, artefatto (richiede la sintonizzazione da parte di un incantatore)","Il Tomo della Distesa Infinita è una delle cinque opere leggendarie scritte da un antico mago elfico conosciuto come Xaturos l'Illuminatore. Per cinquecento anni, Xaturos ha perlustrato i quattro Piani Elementari e il Piano Astrale alla ricerca della conoscenza perduta prima di stabilirsi presumibilmente nel Piano Astrale, anche se abbondano innumerevoli racconti contrastanti su dove si trovasse il mago, mescolati ai racconti della sua morte."
Tomo della Gola Lacerante,"Oggetto meraviglioso, artefatto (richiede la sintonizzazione da parte di un incantatore)","Il Tomo della Gola Lacerante è una delle cinque opere leggendarie scritte da un antico mago elfico conosciuto come Xaturos l'Illuminatore. Per cinquecento anni, Xaturos ha perlustrato i quattro Piani Elementari e il Piano Astrale alla ricerca della conoscenza perduta prima di stabilirsi presumibilmente nel Piano Astrale, anche se abbondano innumerevoli racconti contrastanti su dove si trovasse il mago, mescolati ai racconti della sua morte."
Tomo della Fiamma Ardente,"Oggetto meraviglioso, artefatto (richiede la sintonizzazione da parte di un incantatore)","Il Tomo della Fiamma Ardente è una delle cinque opere leggendarie scritte da un antico mago elfico conosciuto come Xaturos l'Illuminatore. Per cinquecento anni, Xaturos ha perlustrato i quattro Piani Elementari e il Piano Astrale alla ricerca della conoscenza perduta prima di stabilirsi presumibilmente nel Piano Astrale, anche se abbondano innumerevoli racconti contrastanti su dove si trovasse il mago, mescolati ai racconti della sua morte."
Tomo dell'Oceano Ruggente,"Oggetto meraviglioso, artefatto (richiede la sintonizzazione da parte di un incantatore)","Il Tomo dell'Oceano Ruggente è una delle cinque opere leggendarie scritte da un antico mago elfico conosciuto come Xaturos l'Illuminatore. Per cinquecento anni, Xaturos ha perlustrato i quattro Piani Elementari e il Piano Astrale alla ricerca della conoscenza perduta prima di stabilirsi presumibilmente nel Piano Astrale, anche se abbondano innumerevoli racconti contrastanti su dove si trovasse il mago, mescolati ai racconti della sua morte."
Tomo della Luna e delle Stelle,"Oggetto meraviglioso (libro di incantesimi), artefatto","Creato dalla grande dea Ioun, questo libro espande le conoscenze magiche di chi lo legge. Per leggere questo tomo è necessario avere almeno uno slot per incantesimi di 5° livello o gli slot per incantesimi del patto magico devono essere di 5° livello. Per ottenere i benefici della lettura di questo tomo, si devono passare 12 ore nell'arco di sette giorni a studiarne il contenuto. Al termine di questo processo, il lettore ha accesso alla lista completa degli incantesimi di una classe a sua scelta, e gli incantesimi di questa lista estesa sono trattati come incantesimi della tua classe primaria. Inoltre, il punteggio di Intelligenza, Saggezza o Carisma del lettore aumenta di 4 fino a un massimo di 30. Infine, se il lettore ha una lista di incantesimi conosciuti, impara 6 incantesimi aggiuntivi o se prepara incantesimi dalla lista degli incantesimi della sua classe, può preparare 6 incantesimi aggiuntivi. Quando il libro viene letto, viene magicamente restituito a Ioun perché lo rilasci di nuovo a sua discrezione. Se una creatura ha già letto il Tomo della Luna e delle Stelle e per caso lo incontra di nuovo, non si aprirà per lei, poiché Ioun disapprova il possesso egoistico della conoscenza."
Libro delle Anime,"Wondrous Item, artifact (Richiede la sintonizzazione da parte di un mago, un chierico o un paladino).",Le storie di un potente negromante crearono un libro che poteva intrappolare le anime in modo da poter eseguire esperimenti sui non morti. Si dice che eseguisse orrendi esperimenti che erano un destino peggiore della dannazione. Alcuni dicono che alla fine raggiunse l'immortalità e che sia ancora in libertà centinaia di anni dopo.
Libro dei Segreti,"Wondrous Item, artifact (Requires attunement by a spellcaster)","Millenia algo, un gruppo di maghi si sentì frustrato per la loro mancanza di conoscenza. Così chiamarono l'Arcimago Aranil, e insieme crearono il Libro dei Segreti, un libro che poteva mostrare a chi lo possedeva i segreti del Multiverso. Attualmente, Aranil lo possiede ancora, e le proprietà dannose del libro vengono soppresse mentre è sintonizzato con Aranil."
Libro della Scienza Divina,"Oggetto meraviglioso (Rottura), artefatto","Sembra essere solo un semplice libro verde pesantemente rilegato senza alcun tipo di scritta sulla copertina, solo un simbolo, inscritto in lamina d'oro, che raffigura una spirale deformata circondata dai punti di una rosa dei venti non segnata. Il testo sulle pagine del libro è scritto in caratteri comuni, le parole non corrispondono a nessuna lingua conosciuta, ma hanno la consistenza di una lingua o di un cifrario. Ogni creatura con livelli di classe che legge questo libro fino in fondo per 1d4 ore deve effettuare un tiro salvezza a scelta del GM tra Intelligenza, Saggezza o Carisma, contro il proprio punteggio di abilità. Se la prova riesce, la creatura ottiene l'accesso al bonus di livellamento in tandem, se la prova fallisce, il lettore soffre della maledizione dell'ossessione."
Tomo della Terra Implacabile,"Oggetto meraviglioso, artefatto (richiede la sintonizzazione da parte di un incantatore)","Il Tomo della Terra implacabile è una delle cinque opere leggendarie scritte da un antico mago elfico conosciuto come Xaturos l'Illuminatore. Per cinquecento anni, Xaturos ha perlustrato i quattro Piani Elementari e il Piano Astrale alla ricerca della conoscenza perduta prima di stabilirsi presumibilmente nel Piano Astrale, anche se abbondano innumerevoli racconti contrastanti su dove si trovasse il mago, mescolati ai racconti della sua morte."
Tomo della Gilda d'Avanguardia,"Wondrous Item, artifact (Not Required, Can only be used be a member of the ancient elven Guild)","Un elaborato Tomo Verde e Oro di antica fattura elfica, uno dei motivi principali per cui la gilda era così potente, in quanto permetteva ai suoi membri di essere tutti uguali sul campo di battaglia, nessun membro più debole significa nessun punto debole sul campo di battaglia che il nemico possa sfruttare."
Vero Spirito della Lancia Chastifol,"Arma (lancia), Leggendaria (richiede sintonia)",Hai un bonus di +3 ai tiri per i danni in attacco e alla CA quando sei in sintonia con quest'arma.
La Bisaccia del Grifone,"Oggetto meraviglioso, artefatto","Queste borse in pelle hanno la faccia stilizzata di un grifone sul davanti e appaiono nel multiverso in luoghi strani. Uno può essere trovato nel ventre di un drago, mentre un altro nei rami di un grande albero. Indipendentemente da dove viene trovata, la bisaccia di un grifone viene in genere scoperta da un avventuriero con un destino."
Tè Strano,"Oggetto meraviglioso, comune","Questo minuscolo frammento senziente di un elementale dell'acqua incantato ha un desiderio infinito di creare il tè. Quando viene data una foglia o un altro potenziale ingrediente per il tè, la sua forma acquosa gorgoglia felicemente quando inizia a inzupparla, riscaldando magicamente l'acqua che circonda l'ingrediente alla sua temperatura ideale per la preparazione. Raccoglie solo i materiali che sceglie e può controllare se è bagnato o meno al tatto. Lo strano tè può abitare fino a 1 litro d'acqua o fino a 1 oncia. Qualsiasi acqua controllata dal tè strano è magica per tutta la durata."
Tè della Vedova,"Oggetto meraviglioso, raro","Questo set da tè in ceramica scura è composto da una teiera e due tazze da tè abbinate. Lo spirito maligno di una megera vive nella teiera e corrompe la prima tazza di tè che versa in una delle tazze da tè abbinate. La prima creatura che beve questa tazza di tè deve effettuare un tiro salvezza di Costituzione a DC 15, poiché lo spirito della megera la assale dall'interno. Con un tiro salvezza fallito, la creatura subisce 4d6 danni da veleno e rimane paralizzata per 1 minuto. Con un tiro salvezza riuscito, la creatura prende la metà dei danni e non è paralizzata. Alla fine di ogni suo turno, una creatura paralizzata può effettuare un altro tiro salvezza di Costituzione di DC 15. Con un successo, non è più paralizzata."
Pergamena dell'Eclisse,"Pergamena, leggendaria","Quando usi un'azione per leggere questa pergamena, qualsiasi luce solare o lunare entro un raggio di 3 miglia da te (naturale o creata da un effetto magico) viene magicamente soppressa. Per la durata, tutto nell'area è nell'oscurità a meno che non sia illuminato da un'altra fonte, come una torcia o l'incantesimo ""luce"". L'effetto dura 8 ore e può essere terminato anticipatamente solo con un incantesimo ""desiderio"". Devi essere all'aperto quando usi la pergamena, altrimenti non succede nulla e la pergamena va sprecata. Guardare il cielo durante questo periodo non mostra alcun segno del sole o della luna, e se normalmente riesci a vedere le stelle, non si vedono da nessuna parte per tutta la durata."
Pergamena Pellicola,"A differenza delle normali pergamene, una ""pergamena di pellicola"" ha molteplici usi. Ogni utilizzo richiede di estrarre una parte perforata della pergamena dalla sua custodia in pelle. Quando viene trovata, la pergamena ha 1d6 + 4 lunghezze.","Il cartiglio è parzialmente trasparente al centro con bordi dorati. Tenendo tesa una parte della pergamena davanti a te, puoi usare un'azione per pronunciare la sua parola di comando per far sì che la parte trasparente della pergamena diventi opaca. Quando lo fa, registra l'immagine bidimensionale di ciò che è stato visto in quel momento attraverso il centro del rotolo sul tuo lato della carta ora opaca. L'immagine registrata può essere in bianco e nero oa colori (a scelta)."
Tuta Meccanica,"Una tuta da mech è una tuta alta 12 piedi di armatura robotica. È alimentato da una fonte di energia a fusione miniaturizzata, che fornisce energia per un massimo di 25 anni di funzionamento.","Armatura potenziata. Il peso della tuta da mech non contribuisce al tuo ingombro. Inoltre, mentre indossi l'armatura, il tuo punteggio di Forza passa a 25 se non è già superiore. Inoltre, la tua velocità di camminata cambia a 18 metri se non è già superiore e guadagni una velocità di salto di 18 metri."
Yamato,"Arma (spada lunga), leggendaria (richiede sintonia)","Yamato è una grande katana con una lama forgiata di colore scuro, più lunga della lama giapponese, con una guardia dorata. Lo Tsuka (""manico"") ha il tradizionale rivestimento in oro, con ornamenti neri, e la Tsuba (""guardia"") è ottagonale. La lama presenta diversi ornamenti intricati, il più notevole è un rilievo di un drago all'estremità dell'elsa. Il fodero è nero, fatto di legno laccato tradizionale, e presenta diversi ornamenti metallici sulla sua estremità. Presenta anche un sageo dorato, la corda usata per legare la katana alla vita. Precedentemente usata dal Grande Campione Demoniaco Sparda, la lama è stata usata per sigillare il mondo Demoniaco dal mondo Umano."
